; Additional parameters:
; Temperature (TEMP) =   2.50000000e+001
; Temperature (TNOM) =   2.50000000e+001
; Local inaccuracy =   9.99999700e-003
; reltol =   1.00000000e-003
; Acceleration level = with acceleration

TIME     'v(in1)'     'v(in2)'     'v(out)'
  6.16665174e-008  1.30000000e+000  4.33527412e-001  1.24171538e+000
  6.16977713e-008  1.30000000e+000  3.92897287e-001  1.26437412e+000
  6.17219544e-008  1.30000000e+000  3.61459299e-001  1.27784654e+000
  6.17652495e-008  1.30000000e+000  3.05175705e-001  1.28898114e+000
  6.18256148e-008  1.30000000e+000  2.26700777e-001  1.29509370e+000
  6.19051529e-008  1.30000000e+000  1.23301235e-001  1.29626737e+000
  6.20000000e-008  1.30000000e+000  0.00000000e+000  1.29714008e+000
  6.21441759e-008  1.30000000e+000  0.00000000e+000  1.29971038e+000
  6.22555281e-008  1.30000000e+000  0.00000000e+000  1.29986272e+000
  6.24034612e-008  1.30000000e+000  0.00000000e+000  1.29991401e+000
  6.26862348e-008  1.30000000e+000  0.00000000e+000  1.29995657e+000
  6.30438668e-008  1.30000000e+000  0.00000000e+000  1.29997226e+000
  6.34014988e-008  1.30000000e+000  0.00000000e+000  1.29998050e+000
  6.41167627e-008  1.30000000e+000  0.00000000e+000  1.29998673e+000
  6.52723123e-008  1.30000000e+000  0.00000000e+000  1.29999219e+000
  6.71037614e-008  1.30000000e+000  0.00000000e+000  1.29999437e+000
  6.90518808e-008  1.30000000e+000  0.00000000e+000  1.29999651e+000
  7.10000000e-008  1.30000000e+000  0.00000000e+000  1.29999653e+000
  7.11803772e-008  1.06550968e+000  0.00000000e+000  1.29820068e+000
  7.13262297e-008  8.75901399e-001  0.00000000e+000  1.29810699e+000
  7.16179347e-008  4.96684845e-001  0.00000000e+000  1.29807406e+000
  7.20000000e-008  0.00000000e+000  0.00000000e+000  1.29848692e+000
  7.21318992e-008  0.00000000e+000  0.00000000e+000  1.29996783e+000
  7.22990497e-008  0.00000000e+000  0.00000000e+000  1.30003012e+000
  7.26333507e-008  0.00000000e+000  0.00000000e+000  1.30000026e+000
  7.33019529e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  7.46391571e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  7.73135656e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  8.00000000e-008  0.00000000e+000  0.00000000e+000  1.30000000e+000
  8.00840548e-008  1.09271223e-001  1.09271223e-001  1.30283087e+000
  8.01681096e-008  2.18542447e-001  2.18542447e-001  1.30326460e+000
  8.02393172e-008  3.11112311e-001  3.11112311e-001  1.30367391e+000
  8.02916900e-008  3.79196989e-001  3.79196989e-001  1.30406545e+000
  8.03360091e-008  4.36811806e-001  4.36811806e-001  1.30002351e+000
  8.03686638e-008  4.79262927e-001  4.79262927e-001  1.28882566e+000
  8.03937212e-008  5.11837618e-001  5.11837618e-001  1.28112795e+000
  8.04224249e-008  5.49152378e-001  5.49152378e-001  1.27025401e+000
  8.04530890e-008  5.89015711e-001  5.89015711e-001  1.25105080e+000
  8.04958192e-008  6.44564980e-001  6.44564980e-001  1.20711256e+000
  8.05394555e-008  7.01292206e-001  7.01292206e-001  1.05578778e+000
  8.05784926e-008  7.52040355e-001  7.52040355e-001  6.93277285e-001
  8.06110308e-008  7.94339976e-001  7.94339976e-001  3.03330750e-001
  8.06359293e-008  8.26708068e-001  8.26708068e-001  1.50648775e-001
  8.06559288e-008  8.52707478e-001  8.52707478e-001  1.08049900e-001
  8.06827770e-008  8.87610133e-001  8.87610133e-001  6.87810025e-002
  8.07050757e-008  9.16598358e-001  9.16598358e-001  4.75710959e-002
  8.07496729e-008  9.74574808e-001  9.74574808e-001  2.15799177e-002
  8.08101717e-008  1.05322319e+000  1.05322319e+000  9.69018081e-003
  8.08920203e-008  1.15962644e+000  1.15962644e+000  6.19630439e-003
  8.09460103e-008  1.22981335e+000  1.22981335e+000  6.01220641e-003
  8.10000000e-008  1.30000000e+000  1.30000000e+000  5.45316371e-003
  8.11079795e-008  1.30000000e+000  1.30000000e+000  2.05643011e-004
  8.12714698e-008  1.30000000e+000  1.30000000e+000  8.45736877e-006
  8.14709173e-008  1.30000000e+000  1.30000000e+000  3.66050964e-006
  8.18698122e-008  1.30000000e+000  1.30000000e+000  3.56430030e-006
  8.26676019e-008  1.30000000e+000  1.30000000e+000  3.56326037e-006
  8.42631814e-008  1.30000000e+000  1.30000000e+000  3.56325062e-006
  8.74543403e-008  1.30000000e+000  1.30000000e+000  3.56325060e-006
  9.10000000e-008  1.30000000e+000  1.30000000e+000  3.56325058e-006
  9.13333334e-008  8.66666623e-001  1.30000000e+000  2.47001051e-002
  9.13730943e-008  8.14977437e-001  1.30000000e+000  4.57309739e-002
  9.14128552e-008  7.63288250e-001  1.30000000e+000  7.88555561e-002
  9.14526161e-008  7.11599064e-001  1.30000000e+000  1.27655522e-001
  9.15026934e-008  6.46498528e-001  1.30000000e+000  2.66462777e-001
  9.15523715e-008  5.81917107e-001  1.30000000e+000  6.69056548e-001
  9.15878166e-008  5.35838384e-001  1.30000000e+000  1.03616184e+000
  9.16161636e-008  4.98987331e-001  1.30000000e+000  1.17471016e+000
  9.16388684e-008  4.69471110e-001  1.30000000e+000  1.21558910e+000
  9.16721158e-008  4.26249511e-001  1.30000000e+000  1.24892598e+000
  9.16997542e-008  3.90319499e-001  1.30000000e+000  1.26716082e+000
  9.17479804e-008  3.27625454e-001  1.30000000e+000  1.28607190e+000
  9.18323259e-008  2.17976371e-001  1.30000000e+000  1.29584514e+000
  9.19161630e-008  1.08988055e-001  1.30000000e+000  1.29659762e+000
  9.20000000e-008  0.00000000e+000  1.30000000e+000  1.29711191e+000
  9.21676739e-008  0.00000000e+000  1.30000000e+000  1.29993171e+000
  9.25030218e-008  0.00000000e+000  1.30000000e+000  1.29999846e+000
  9.29615008e-008  0.00000000e+000  1.30000000e+000  1.29999926e+000
  9.38784587e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  9.57123745e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  9.78561874e-008  0.00000000e+000  1.30000000e+000  1.29999923e+000
  1.00000000e-007  0.00000000e+000  1.30000000e+000  1.29999923e+000
